Date,BRAND,SKU,Actual Price,Recommended Price,Difference
04-01-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.49,0
04-01-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,14,13.49,0.51
04-01-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.95,11.99,0.96
04-01-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,12.99,0.5
04-01-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,12.99,0.41
04-01-2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49,12.99,0.5
04-01-2015,BECKS,6 Pk 12 Oz Glass,11.39,10.99,0.4
04-01-2015,MILLER LITE,6 Pk 12 Oz Glass,10.99,10.49,0.5
04-01-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,14.49,0
04-01-2015,MILLER LITE,12 Pk 12 Oz Can,14.99,14.99,0
04-01-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,14.99,13.49,1.5
04-01-2015,BUD LIGHT,6 Pk 12 Oz Glass,10,10.99,0.99
04-01-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.49,12.99,0.5
04-01-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,12.49,0
04-01-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49,12.49,0
04-01-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.99,0.5
04-01-2015,BUDWEISER,6 Pk 12 Oz Glass,10,10.49,0.49
04-01-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.98,10.49,0.49
04-01-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.65,10.99,0.66
04-01-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11,11.49,0.49
11-01-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,12.49,12.49,0
11-01-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.45,12.99,0.54
11-01-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,12.49,1
11-01-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,12.49,0.91
11-01-2015,CORONA LIGHT,6 Pk 12 Oz Glass,13.99,12.49,1.5
11-01-2015,BECKS,6 Pk 12 Oz Glass,11.49,10.99,0.5
11-01-2015,MILLER LITE,12 Pk 12 Oz Can,14,13.49,0.51
11-01-2015,MILLER LITE,12 Pk 12 Oz Glass,14,14.99,0.99
11-01-2015,MILLER LITE,6 Pk 12 Oz Glass,10,10.99,0.99
11-01-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,12.49,13.49,1
11-01-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49,9.99,0.5
11-01-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.98,13.99,0.01
11-01-2015,MAGIC HAT,6 Pk 12 Oz Glass,10.49,12.99,2.5
11-01-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.92,12.49,0.43
11-01-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13,12.49,0.51
11-01-2015,BUDWEISER,6 Pk 12 Oz Glass,10.45,10.99,0.54
11-01-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.49,9.49,1
11-01-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,10,11.99,1.99
11-01-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,12.49,11.99,0.5
18-01-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.49,0
18-01-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99,12.99,0
18-01-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.99,13.99,1
18-01-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,12.49,0.91
18-01-2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99,12.99,0
18-01-2015,BECKS,6 Pk 12 Oz Glass,11.99,11.49,0.5
18-01-2015,MILLER LITE,6 Pk 12 Oz Glass,10.9,9.49,1.41
18-01-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99,10.49,0.5
18-01-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.49,13.99,1.5
18-01-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.99,12.99,0
18-01-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.49,12.49,1
18-01-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.89,12.49,1.4
18-01-2015,BUDWEISER,6 Pk 12 Oz Glass,10.45,10.99,0.54
18-01-2015,COORS LIGHT,6 Pk 12 Oz Glass,10,10.99,0.99
18-01-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,10.99,11.99,1
25-01-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.49,0
25-01-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99,12.99,1
25-01-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.95,12.99,0.04
25-01-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.43,13.49,0.06
25-01-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.53,11.49,2.04
25-01-2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99,12.99,0
25-01-2015,BECKS,6 Pk 12 Oz Glass,11.99,11.99,0
